Category,Metric,Value
core_detection,accuracy,0.962
core_detection,precision,0.971
core_detection,recall,0.95
core_detection,f1_score,0.96
core_detection,fpr,0.024
core_detection,fnr,0.05
core_detection,specificity,0.976
core_detection,balanced_accuracy,0.963
performance,avg_detection_latency_ms,42.5
performance,avg_scan_time_ms,150.2
performance,avg_enrichment_time_ms,32.8
performance,avg_forecast_runtime_ms,40.5
performance,avg_memory_usage_mb,14.2
trust_validation,trust_stability,0.985
trust_validation,trust_separation_index,0.892
trust_validation,trust_distribution_variance,0.742
tampering,tampering_accuracy,0.941
tampering,tampering_precision,0.952
tampering,tampering_recall,0.925
visual_phishing,brand_detection_accuracy,0.968
visual_phishing,impersonation_detection_accuracy,0.954
campaign_attribution,campaign_attribution_accuracy,0.932
campaign_attribution,campaign_recall,0.912
campaign_attribution,campaign_precision,0.945
campaign_attribution,clustering_accuracy,0.924
campaign_attribution,cluster_purity,0.951
campaign_attribution,risk_propagation_accuracy,0.912
forecasting,forecast_accuracy,0.895
forecasting,forecast_precision,0.884
forecasting,forecast_recall,0.911
forecasting,forecast_stability,0.942
forecasting,forecast_consistency,0.921
forecasting,mutation_prediction_accuracy,0.875
forecasting,growth_prediction_accuracy,0.914
forecasting,threat_momentum_correlation,0.885
